id,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_identity_verified,bedrooms,beds,accommodates,number_of_reviews,reviews_per_month,price,Entire_home_apt,Hotel_room,Private_room,Shared_room,bathrooms_number,Air_conditioning,Bed_linens,Coffee_maker,Cooking_basics,Dedicated_workspace,Dishes_and_silverware,Elevator,Essentials,Fire_extinguisher,First_aid_kit,Free_street_parking,Hair_dryer,Hangers,Heating,Hot_water,Iron,Kitchen,Long_term_stays_allowed,Oven,Refrigerator,Shampoo,Stove,TV,Washer,Wifi,neighbourhood__1o_nekrotapheio,neighbourhood__agios_eleutherios,neighbourhood__agios_konstantinos_plateia_bathes,neighbourhood__agios_nikolaos,neighbourhood__akademia_platonos,neighbourhood__akropole,neighbourhood__ampelokepoi,neighbourhood__ano_kupsele,neighbourhood__ano_patesia,neighbourhood__botanikos,neighbourhood__ellenoroson,neighbourhood__emporiko_trigono_plaka,neighbourhood__gkazi,neighbourhood__gkuze,neighbourhood__gouba,neighbourhood__goudi,neighbourhood__ilisia,neighbourhood__kerameikos,neighbourhood__kolokunthou,neighbourhood__kolonaki,neighbourhood__kolonos,neighbourhood__koukaki_makrugianne,neighbourhood__kupsele,neighbourhood__lukabettos,neighbourhood__mouseio_eksarkheia_neapole,neighbourhood__nea_kupsele,neighbourhood__neos_kosmos,neighbourhood__nirbana,neighbourhood__pagkrati,neighbourhood__patesia,neighbourhood__pedio_areos,neighbourhood__pentagono,neighbourhood__petralona,neighbourhood__plateia_amerikes,neighbourhood__plateia_attikes,neighbourhood__polugono,neighbourhood__prompona,neighbourhood__regilles,neighbourhood__rizoupole,neighbourhood__sepolia,neighbourhood__stadio,neighbourhood__stathmos_larises,neighbourhood__theseio,neighbourhood__zappeio
452159,0.93,1.0,0,9.0,1,3.0,4.0,8,56,0.7,1741.0,1,0,0,0,2.0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
469140,1.0,1.0,0,15.0,1,1.0,2.0,4,60,0.59,138.0,1,0,0,0,1.0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
470219,1.0,1.0,0,15.0,1,1.0,2.0,4,16,0.15,81.0,1,0,0,0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
474719,1.0,1.0,1,5.0,1,1.0,2.0,4,248,2.41,50.0,1,0,0,0,1.0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
478626,0.0,0.0,0,10.0,0,1.0,1.0,3,1,0.01,120.0,1,0,0,0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
484852,0.67,0.4,0,1.0,1,1.0,2.0,4,52,0.47,23.0,1,0,0,0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
484925,1.0,0.96,1,3.0,1,2.0,3.0,5,255,2.91,125.0,1,0,0,0,1.0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
495212,1.0,1.0,0,1.0,0,1.0,2.0,3,11,0.26,50.0,1,0,0,0,1.0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
496416,1.0,0.97,1,67.0,1,1.0,0.0,4,8,0.09,57.0,1,0,0,0,1.0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
496503,1.0,0.97,1,67.0,1,2.0,2.0,8,8,0.1,120.0,1,0,0,0,2.5,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
